bodyID,Volume,3DHBSh,Aqua-Calc,Article 1987
0152,0.06678199,68.52,67.45,70.66
0153,0.06755397,69.31,68.23,71.42
0154,0.06239017,64.01,63.01,66.33
0155,0.05907713,60.61,59.67,63.07
0156,0.04981266,51.11,50.31,53.94
0157,0.06942176,71.23,70.12,73.26
0158,0.05719447,58.68,57.77,61.21
0159,0.06413811,65.81,64.78,68.05
0160,0.06094902,62.53,61.56,64.91
0161,0.05603623,57.49,56.6,60.07
0162,0.06671767,68.45,67.38,70.6
0163,0.05394739,55.35,54.49,58.01
0164,0.0513268,52.66,51.84,55.43
0165,0.06226366,63.88,62.89,66.21
0166,0.05505113,56.48,55.6,59.1
0167,0.05044592,51.76,50.95,54.56
0168,0.05506954,56.5,55.62,59.12
0169,0.05531151,56.75,55.86,59.36
0170,0.05648326,57.95,57.05,60.51
0171,0.05857907,60.1,59.16,62.58
0172,0.06421724,65.89,64.86,68.13
0173,0.04910773,50.38,49.6,53.25
0174,0.06053432,62.11,61.14,64.5
0175,0.05259915,53.97,53.13,56.69
0176,0.06655591,68.29,67.22,70.44
0177,0.07012532,71.95,70.83,73.95
0178,0.07488026,76.83,75.63,78.64
0179,0.06414568,65.81,64.79,68.06
0180,0.05674818,58.22,57.32,60.77
0181,0.06315731,64.8,63.79,67.09
0182,0.06768626,69.45,68.36,71.55
0183,0.0581041,59.61,58.69,62.11
0184,0.05757728,59.07,58.15,61.59
0185,0.06642845,68.16,67.09,70.31
0186,0.06657043,68.3,67.24,70.45
0187,0.06051158,62.08,61.12,64.48
0188,0.05021103,51.52,50.71,54.33
0189,0.06713885,68.88,67.81,71.01
0190,0.06943554,71.24,70.13,73.27
0191,0.05659084,58.06,57.16,60.62
0192,0.06844526,70.22,69.13,72.3
0193,0.06185593,63.46,62.47,65.81
0194,0.05973482,61.29,60.33,63.72
0195,0.06355457,65.21,64.19,67.48
0196,0.08455746,86.76,85.4,88.17
0197,0.05880732,60.34,59.4,62.8
0198,0.06060693,62.18,61.21,64.58
0199,0.04737445,48.61,47.85,51.54
0200,0.06492897,66.62,65.58,68.83
0201,0.05931657,60.86,59.91,63.3
0202,0.06079847,62.38,61.41,64.76
0203,0.04389801,45.04,44.34,48.11
0204,0.07060257,72.44,71.31,74.42
0205,0.0516955,53.04,52.21,55.8
0206,0.05576327,57.21,56.32,59.8
0207,0.05107979,52.41,51.59,55.19
0208,0.05778849,59.29,58.37,61.8
0209,0.05722398,58.71,57.8,61.24
0210,0.05555808,57.0,56.11,59.6
0211,0.06658058,68.31,67.25,70.46
0212,0.04776105,49.0,48.24,51.92
0213,0.05522652,56.66,55.78,59.27
0214,0.04966038,50.95,50.16,53.79
0215,0.04750016,48.74,47.98,51.66
0216,0.05214452,53.5,52.67,56.24
0217,0.06027566,61.84,60.88,64.25
0218,0.06930505,71.11,70.0,73.14
0219,0.05484964,56.28,55.4,58.9
0220,0.06199046,63.6,62.61,65.94
0221,0.05301826,54.4,53.55,57.1
0222,0.04865788,49.92,49.14,52.8
0223,0.06133012,62.92,61.94,65.29
0224,0.06990061,71.72,70.6,73.73
0225,0.05103477,52.36,51.55,55.14
0226,0.05867228,60.2,59.26,62.67
0227,0.05904172,60.58,59.63,63.03
0228,0.05933121,60.87,59.92,63.32
0229,0.05677479,58.25,57.34,60.8
0230,0.04764929,48.89,48.13,51.81
0231,0.07772075,79.74,78.5,81.44
0232,0.07050088,72.33,71.21,74.32
0233,0.06490154,66.59,65.55,68.81
0234,0.05524633,56.68,55.8,59.29
0235,0.06269368,64.32,63.32,66.63
0236,0.06379929,65.46,64.44,67.72
0237,0.06086149,62.44,61.47,64.83
0238,0.05743474,58.93,58.01,61.45
0239,0.06153958,63.14,62.15,65.49
0240,0.05165178,52.99,52.17,55.75
0241,0.0548793,56.31,55.43,58.93
0242,0.06311843,64.76,63.75,67.05
0243,0.05610031,57.56,56.66,60.14
0244,0.07086002,72.7,71.57,74.68
0245,0.05704332,58.53,57.61,61.06
0246,0.07349873,75.41,74.23,77.28
0247,0.0513827,52.72,51.9,55.49
0248,0.0538841,55.29,54.42,57.95
0249,0.06913743,70.94,69.83,72.98
0250,0.05733652,58.83,57.91,61.35
0251,0.07337,75.28,74.1,77.15
0252,0.06225758,63.88,62.88,66.2
0253,0.0653658,67.07,66.02,69.26
0254,0.08200055,84.13,82.82,85.65
0255,0.06697418,68.72,67.64,70.85
0256,0.06224821,63.87,62.87,66.19
0257,0.06032147,61.89,60.92,64.29
0258,0.05715283,58.64,57.72,61.17
0259,0.07194896,73.82,72.67,75.75
0260,0.08180624,83.93,82.62,85.46
0261,0.07277042,74.66,73.5,76.56
0262,0.06867841,70.46,69.37,72.53
0263,0.06706183,68.81,67.73,70.93
0264,0.06536341,67.06,66.02,69.26
0265,0.06430253,65.97,64.95,68.22
0266,0.05814969,59.66,58.73,62.15
0267,0.06776186,69.52,68.44,71.62
0268,0.07029537,72.12,71.0,74.12
0269,0.05176465,53.11,52.28,55.86
0270,0.05532911,56.77,55.88,59.38
0271,0.0476099,48.85,48.09,51.77
0272,0.06061407,62.19,61.22,64.58
0273,0.06745807,69.21,68.13,71.33
0274,0.06841674,70.2,69.1,72.27
0275,0.05944912,60.99,60.04,63.43
0276,0.05820626,59.72,58.79,62.21
0277,0.0596998,61.25,60.3,63.68
0278,0.0768292,78.83,77.6,80.56
0279,0.05084723,52.17,51.36,54.96
0280,0.06763632,69.39,68.31,71.5
0281,0.05996154,61.52,60.56,63.94
0282,0.05454863,55.97,55.09,58.61
0283,0.07277383,74.67,73.5,76.56
